categoryId,categoryName,categoryPath
"35992","Strops, Sharpeners","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Strops, Sharpeners"
"35993","Trays","Root > Collectibles > Vanity, Perfume & Shaving > Trays"
"156530","Lipstick Tubes, Holders","Root > Collectibles > Vanity, Perfume & Shaving > Lipstick Tubes, Holders"
"156531","Powder Boxes","Root > Collectibles > Vanity, Perfume & Shaving > Powder Boxes"
"168052","Reproductions","Root > Collectibles > Vanity, Perfume & Shaving > Reproductions"
"170077","Perfumes-Solid","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes-Solid"
"171199","Price Guides & Publications","Root > Collectibles > Vanity, Perfume & Shaving > Price Guides & Publications"
"898","Casino","Root > Collectibles > Casino"
"573","Other Casino Collectibles","Root > Collectibles > Casino > Other Casino Collectibles"
"3443","Strikes","Root > Collectibles > Casino > Strikes"
"3512","Tokens","Root > Collectibles > Casino > Tokens"
"3949","Trade Stimulators","Root > Collectibles > Casino > Trade Stimulators"
"10908","Cards","Root > Collectibles > Casino > Cards"
"10909","Dice","Root > Collectibles > Casino > Dice"
"13728","Slots","Root > Collectibles > Casino > Slots"
"13731","Replacement Parts","Root > Collectibles > Casino > Slots > Replacement Parts"
"14283","Machines","Root > Collectibles > Casino > Slots > Machines"
"3948","Token Slot Machines","Root > Collectibles > Casino > Slots > Machines > Token Slot Machines"
"13729","Skill Slot Machines","Root > Collectibles > Casino > Slots > Machines > Skill Slot Machines"
"14282","Antique Coin Slot Machines","Root > Collectibles > Casino > Slots > Machines > Antique Coin Slot Machines"
"14284","Non-Functional Slot Machines","Root > Collectibles > Casino > Slots > Machines > Non-Functional Slot Machines"
"172509","Other Slot Machines","Root > Collectibles > Casino > Slots > Machines > Other Slot Machines"
"66536","Other Slots Collectibles","Root > Collectibles > Casino > Slots > Other Slots Collectibles"
"112665","Manuals & Guides","Root > Collectibles > Casino > Slots > Manuals & Guides"
"35743","Chips","Root > Collectibles > Casino > Chips"
"63749","Individual Casino Chips","Root > Collectibles > Casino > Chips > Individual Casino Chips"
"63750","$1","Root > Collectibles > Casino > Chips > Individual Casino Chips > $1"
"63751","$2.50","Root > Collectibles > Casino > Chips > Individual Casino Chips > $2.50"
"63752","$5","Root > Collectibles > Casino > Chips > Individual Casino Chips > $5"
"63753","$10","Root > Collectibles > Casino > Chips > Individual Casino Chips > $10"
"63754","$25","Root > Collectibles > Casino > Chips > Individual Casino Chips > $25"
"63755","$100","Root > Collectibles > Casino > Chips > Individual Casino Chips > $100"
"63756","Other Individual Casino Chips","Root > Collectibles > Casino > Chips > Individual Casino Chips > Other Individual Casino Chips"
"70956","Fractionals","Root > Collectibles > Casino > Chips > Individual Casino Chips > Fractionals"
"63757","Sets","Root > Collectibles > Casino > Chips > Sets"
"63758","300","Root > Collectibles > Casino > Chips > Sets > 300"
"63759","500","Root > Collectibles > Casino > Chips > Sets > 500"
"63760","Other Casino Chip Sets","Root > Collectibles > Casino > Chips > Sets > Other Casino Chip Sets"
"70957","400","Root > Collectibles > Casino > Chips > Sets > 400"
"70958","600","Root > Collectibles > Casino > Chips > Sets > 600"
"70959","650","Root > Collectibles > Casino > Chips > Sets > 650"
"95115","1000","Root > Collectibles > Casino > Chips > Sets > 1000"
"73484","Storage & Supplies","Root > Collectibles > Casino > Chips > Storage & Supplies"
"73485","Cases","Root > Collectibles > Casino > Chips > Storage & Supplies > Cases"
"73486","Trays, Racks","Root > Collectibles > Casino > Chips > Storage & Supplies > Trays, Racks"
"73487","Other Casino Storage, Supplies","Root > Collectibles > Casino > Chips > Storage & Supplies > Other Casino Storage, Supplies"
"150119","Poker Chips","Root > Collectibles > Casino > Chips > Poker Chips"
"156283","Reproductions","Root > Collectibles > Casino > Chips > Reproductions"
"156284","Non-Casino Chips","Root > Collectibles > Casino > Chips > Non-Casino Chips"
"35749","Tables, Layouts","Root > Collectibles > Casino > Tables, Layouts"
"63747","Card Dealer Shoe","Root > Collectibles > Casino > Card Dealer Shoe"
"63748","Card Shuffler","Root > Collectibles > Casino > Card Shuffler"
"63761","Dealer Buttons","Root > Collectibles > Casino > Dealer Buttons"
"63763","Slot Cards","Root > Collectibles > Casino > Slot Cards"
"66504","Casino Memorabilia","Root > Collectibles > Casino > Casino Memorabilia"
